Id,URL,Host,Path,Status,Status Code,Method,Content Type,Client Name,Client Address,Remote Address,Request Start Time,Request End Time,Request Duration (ms),Response Start Time,Response End Time,Response Duration (ms),Duration (ms),Time Complete,Request Body Size (bytes),Response Body Size (bytes),Compressed Request Size (bytes),Compressed Response Size (bytes),Comment,Server IP Address,Server Certificate - Common Name,Server Certificate - DNSs,GraphQL Query Name
327,https://ta.shan-yu-tech.com,ta.shan-yu-tech.com,,Active,,CONNECT,,192.168.31.109,192.168.31.109:51338,ta.shan-yu-tech.com - 120.79.194.173:443,01:15:04.538,,,,,,,,0,0,0,0,,ta.shan-yu-tech.com - 120.79.194.173:443,,,
452,https://ta.shan-yu-tech.com,ta.shan-yu-tech.com,,Active,,CONNECT,,192.168.31.109,192.168.31.109:51453,ta.shan-yu-tech.com - 120.79.194.173:443,01:15:09.584,,,,,,,,0,0,0,0,,ta.shan-yu-tech.com - 120.79.194.173:443,,,
328,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51341,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.538,01:15:19.790,15251,01:15:19.790,01:15:19.790,0,15251,01:15:19.790,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
330,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51340,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.538,01:15:19.790,15251,01:15:19.790,01:15:19.790,0,15251,01:15:19.790,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
331,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51342,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.681,01:15:19.990,15309,01:15:19.990,01:15:19.990,0,15309,01:15:19.990,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
333,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51344,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.705,01:15:19.903,15199,01:15:19.903,01:15:19.903,0,15199,01:15:19.903,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
334,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51346,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.712,01:15:19.934,15222,01:15:19.934,01:15:19.934,0,15222,01:15:19.934,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
335,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51347,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.712,01:15:19.912,15200,01:15:19.912,01:15:19.912,0,15200,01:15:19.912,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
336,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51348,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.715,01:15:19.917,15202,01:15:19.917,01:15:19.917,0,15202,01:15:19.917,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
338,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51351,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.715,01:15:19.934,15219,01:15:19.934,01:15:19.934,0,15219,01:15:19.934,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
339,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51352,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.719,01:15:19.917,15198,01:15:19.917,01:15:19.917,0,15198,01:15:19.917,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
343,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51354,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.920,01:15:20.149,15229,01:15:20.149,01:15:20.149,0,15229,01:15:20.149,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
344,https://bugless.shan-yu-tech.com,bugless.shan-yu-tech.com,,Completed,200,CONNECT,,192.168.31.109,192.168.31.109:51355,bugless.shan-yu-tech.com - 120.79.23.141:443,01:15:04.950,01:15:20.160,15210,01:15:20.160,01:15:20.160,0,15210,01:15:20.160,0,0,0,0,,bugless.shan-yu-tech.com - 120.79.23.141:443,,,
